SNo,City,Chinese,Province,Prefecture,Type,Founded
,,,,,,(PRC)
1,Beijing,北京市,municipal,none,Provincial-level municipality,1/10/1949
2,Chongqing,重庆市,municipal,none,Provincial-level municipality,1/10/1949
3,Shanghai,上海市,municipal,none,Provincial-level municipality,1/10/1949
4,Tianjin,天津市,municipal,none,Provincial-level municipality,1/10/1949
5,Hong Kong,香港特别行政区,autonomous,none,Special Administrative Region (SAR),1/7/1997
6,Macau,澳门特别行政区,autonomous,none,Special Administrative Region (SAR),20-12-99
7,Anqing,安庆市,Anhui,direct administration,Prefecture-level city,12/4/1952
8,Bengbu,蚌埠市,Anhui,direct administration,Prefecture-level city,2/5/1952
9,Bozhou,亳州市,Anhui,direct administration,Prefecture-level city,11/3/1986
10,Chaohu,巢湖市,Anhui,Hefei,County-Level City,25-11-82
11,Chizhou,池州市,Anhui,direct administration,Prefecture-level city,17-08-88
12,Chuzhou,滁州市,Anhui,direct administration,Prefecture-level city,25-11-82
13,Fuyang,阜阳市,Anhui,direct administration,Prefecture-level city,19-12-75
14,Hefei,合肥市,Anhui,direct administration,Prefecture-level city,1/10/1949
15,Huaibei,淮北市,Anhui,direct administration,Prefecture-level city,20-01-77
16,Huainan,淮南市,Anhui,direct administration,Prefecture-level city,2/6/1952
17,Huangshan,黄山市,Anhui,direct administration,Prefecture-level city,27-01-84
18,Jieshou,界首市,Anhui,Fuyang,County-Level City,17-09-53
19,Lu'an,六安市,Anhui,direct administration,Prefecture-level city,23-09-78
20,Ma'anshan,马鞍山市,Anhui,direct administration,Prefecture-level city,2/7/1956
21,Mingguang,明光市,Anhui,Chuzhou,County-Level City,31-05-94
22,Ningguo,宁国市,Anhui,Xuancheng,County-Level City,11/3/1997
23,Suzhou,宿州市,Anhui,direct administration,Prefecture-level city,17-09-53
24,Tianchang,天长市,Anhui,Chuzhou,County-Level City,18-09-93
25,Tongcheng,桐城市,Anhui,Anqing,County-Level City,20-08-96
26,Tongling,铜陵市,Anhui,direct administration,Prefecture-level city,5/9/1958
27,Wuhu,芜湖市,Anhui,direct administration,Prefecture-level city,1/10/1949
28,Xuancheng,宣城市,Anhui,direct administration,Prefecture-level city,10/6/1987
29,Changle,长乐市,Fujian,Fuzhou,County-Level City,18-02-94
30,Fu'an,福安市,Fujian,Ningde,County-Level City,13-11-89
31,Fuding,福鼎市,Fujian,Ningde,County-Level City,13-10-95
32,Fuqing,福清市,Fujian,Fuzhou,County-Level City,26-12-90
33,Fuzhou,福州市,Fujian,direct administration,Prefecture-level city,1/10/1949
34,Jian'ou,建瓯市,Fujian,Nanping,County-Level City,20-10-92
35,Jinjiang,晋江市,Fujian,Quanzhou,County-Level City,6/3/1992
36,Longhai,龙海市,Fujian,Zhangzhou,County-Level City,12/5/1993
37,Longyan,龙岩市,Fujian,direct administration,Prefecture-level city,21-09-81
38,Nan'an,南安市,Fujian,Quanzhou,County-Level City,12/5/1993
39,Nanping,南平市,Fujian,direct administration,Prefecture-level city,16-11-56
40,Ningde,宁德市,Fujian,direct administration,Prefecture-level city,4/10/1988
41,Putian,莆田市,Fujian,direct administration,Prefecture-level city,9/9/1983
42,Quanzhou,泉州市,Fujian,direct administration,Prefecture-level city,1/11/1950
43,Sanming,三明市,Fujian,direct administration,Prefecture-level city,26-05-60
44,Shaowu,邵武市,Fujian,Nanping,County-Level City,17-08-83
45,Shishi,石狮市,Fujian,Quanzhou,County-Level City,17-12-87
46,Wuyishan,武夷山市,Fujian,Nanping,County-Level City,21-08-89
47,Xiamen,厦门市,Fujian,direct administration,Prefecture-level city,1/10/1949
48,Yong'an,永安市,Fujian,Sanming,County-Level City,12/9/1984
49,Zhangzhou,漳州市,Fujian,direct administration,Prefecture-level city,1/11/1950
50,Zhangping,漳平市,Fujian,Longyan,County-Level City,15-08-90
51,Baiyin,白银市,Gansu,direct administration,Prefecture-level city,4/7/1958
52,Dingxi,定西市,Gansu,direct administration,Prefecture-level city,4/4/2003
53,Dunhuang,敦煌市,Gansu,Jiuquan,County-Level City,21-08-87
54,Hezuo,合作市,Gansu,Gannan,County-Level City,28-05-96
55,Jiayuguan,嘉峪关市,Gansu,direct administration,Prefecture-level city,19-07-65
56,Jinchang,金昌市,Gansu,direct administration,Prefecture-level city,9/2/1981
57,Jiuquan,酒泉市,Gansu,direct administration,Prefecture-level city,21-11-58
58,Lanzhou,兰州市,Gansu,direct administration,Prefecture-level city,1/10/1949
59,Linxia,临夏市,Gansu,Linxia,County-Level City,5/2/1950
60,Longnan,陇南市,Gansu,direct administration,Prefecture-level city,11/1/2004
61,Pingliang,平凉市,Gansu,direct administration,Prefecture-level city,5/2/1950
62,Qingyang,庆阳市,Gansu,direct administration,Prefecture-level city,22-06-02
63,Tianshui,天水市,Gansu,direct administration,Prefecture-level city,5/2/1950
64,Wuwei,武威市,Gansu,direct administration,Prefecture-level city,17-12-86
65,Yumen,玉门市,Gansu,Jiuquan,County-Level City,26-12-55
66,Zhangye,张掖市,Gansu,direct administration,Prefecture-level city,14-05-85
67,Chaozhou,潮州市,Guangdong,direct administration,Prefecture-level city,1/7/1953
68,Dongguan,东莞市,Guangdong,direct administration,Prefecture-level city,5/9/1985
69,Enping,恩平市,Guangdong,Jiangmen,County-Level City,28-02-94
70,Foshan,佛山市,Guangdong,direct administration,Prefecture-level city,1/10/1949
71,Gaozhou,高州市,Guangdong,Maoming,County-Level City,8/6/1993
72,Guangzhou,广州市,Guangdong,direct administration,Prefecture-level city,1/10/1949
73,Heshan,鹤山市,Guangdong,Jiangmen,County-Level City,8/11/1993
74,Heyuan,河源市,Guangdong,direct administration,Prefecture-level city,7/1/1988
75,Huazhou,化州市,Guangdong,Maoming,County-Level City,4/7/1994
76,Huizhou,惠州市,Guangdong,direct administration,Prefecture-level city,8/4/1958
77,Jiangmen,江门市,Guangdong,direct administration,Prefecture-level city,1/10/1949
78,Jieyang,揭阳市,Guangdong,direct administration,Prefecture-level city,7/12/1991
79,Kaiping,开平市,Guangdong,Jiangmen,County-Level City,5/1/1993
80,Lechang,乐昌市,Guangdong,Shaoguan,County-Level City,28-04-94
81,Leizhou,雷州市,Guangdong,Zhanjiang,County-Level City,26-04-94
82,Lianjiang,廉江市,Guangdong,Zhanjiang,County-Level City,10/12/1993
83,Lianzhou,连州市,Guangdong,Qingyuan,County-Level City,22-04-94
84,Lufeng,陆丰市,Guangdong,Shanwei,County-Level City,19-01-95
